org:resource,lifecycle:transition,concept:name,time:timestamp,case:REG_DATE,case:concept:name,case:AMOUNT_REQ
112.0,COMPLETE,A_SUBMITTED,2011-10-01 00:38:44.546000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
112.0,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 00:38:44.880000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
112.0,COMPLETE,A_PREACCEPTED,2011-10-01 00:39:37.906000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10862.0,COMPLETE,A_ACCEPTED,2011-10-01 11:42:43.308000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10862.0,COMPLETE,O_SELECTED,2011-10-01 11:45:09.243000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10862.0,COMPLETE,A_FINALIZED,2011-10-01 11:45:09.243000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10862.0,COMPLETE,O_CREATED,2011-10-01 11:45:11.197000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10862.0,COMPLETE,O_SENT,2011-10-01 11:45:11.380000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
,COMPLETE,W_Completeren aanvraag,2011-10-01 11:45:13.917000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
,COMPLETE,W_Nabellen offertes,2011-10-01 12:17:08.924000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10913.0,COMPLETE,W_Nabellen offertes,2011-10-08 16:32:00.886000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
11049.0,COMPLETE,O_SENT_BACK,2011-10-10 11:33:03.668000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
11049.0,COMPLETE,W_Nabellen offertes,2011-10-10 11:33:05.791000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10629.0,COMPLETE,A_REGISTERED,2011-10-13 10:37:29.226000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10629.0,COMPLETE,A_APPROVED,2011-10-13 10:37:29.226000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10629.0,COMPLETE,O_ACCEPTED,2011-10-13 10:37:29.226000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10629.0,COMPLETE,A_ACTIVATED,2011-10-13 10:37:29.226000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
10629.0,COMPLETE,W_Valideren aanvraag,2011-10-13 10:37:37.026000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000
112.0,COMPLETE,A_SUBMITTED,2011-10-01 08:08:58.256000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000
112.0,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 08:09:02.195000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000
112.0,COMPLETE,A_PREACCEPTED,2011-10-01 08:09:56.648000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000
,COMPLETE,W_Completeren aanvraag,2011-10-01 11:43:13.178000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000
