org:group,resource country,organization country,org:resource,organization involved,org:role,concept:name,impact,product,lifecycle:transition,time:timestamp,case:concept:name
V30,France,fr,Frederic,Org line A2,A2_4,Accepted,Medium,PROD582,In Progress,2010-03-31 16:59:42+00:00,1-364285768
V30,France,fr,Frederic,Org line A2,A2_4,Accepted,Medium,PROD582,In Progress,2010-03-31 17:00:56+00:00,1-364285768
V5 3rd,France,fr,Frederic,Org line A2,A2_5,Queued,Medium,PROD582,Awaiting Assignment,2010-03-31 17:45:48+00:00,1-364285768
V5 3rd,France,fr,Anne Claire,Org line A2,A2_5,Accepted,Medium,PROD582,In Progress,2010-04-06 16:44:07+00:00,1-364285768
V30,France,fr,Anne Claire,Org line A2,A2_4,Queued,Medium,PROD582,Awaiting Assignment,2010-04-06 16:44:38+00:00,1-364285768
V13 2nd 3rd,France,fr,Anne Claire,Org line A2,A2_5,Accepted,Medium,PROD582,In Progress,2010-04-06 16:44:47+00:00,1-364285768
V13 2nd 3rd,France,fr,Anne Claire,Org line A2,A2_5,Completed,Medium,PROD582,Resolved,2010-04-06 16:44:51+00:00,1-364285768
V30,France,fr,Anne Claire,Org line A2,A2_4,Queued,Medium,PROD582,Awaiting Assignment,2010-04-06 16:45:07+00:00,1-364285768
V30,France,fr,Eric,Org line A2,A2_4,Accepted,Medium,PROD582,In Progress,2010-04-08 12:52:23+00:00,1-364285768
V5 3rd,France,fr,Eric,Org line A2,A2_5,Queued,Medium,PROD582,Awaiting Assignment,2010-04-08 12:53:35+00:00,1-364285768
V5 3rd,France,fr,Anne Claire,Org line A2,A2_5,Accepted,Medium,PROD582,In Progress,2010-04-20 11:07:11+00:00,1-364285768
V5 3rd,France,fr,Anne Claire,Org line A2,A2_5,Accepted,Medium,PROD582,Assigned,2010-04-20 11:07:19+00:00,1-364285768
V5 3rd,France,fr,Sarah,Org line A2,A2_5,Accepted,Medium,PROD582,In Progress,2012-04-11 17:11:17+00:00,1-364285768
V5 3rd,France,fr,Sarah,Org line A2,A2_5,Accepted,Medium,PROD582,Assigned,2012-04-11 17:11:25+00:00,1-364285768
V5 3rd,France,fr,Loic,Org line A2,A2_5,Accepted,Medium,PROD582,In Progress,2012-05-03 11:10:10+00:00,1-364285768
V5 3rd,France,fr,Loic,Org line A2,A2_5,Completed,Medium,PROD582,Resolved,2012-05-03 11:10:12+00:00,1-364285768
V5 3rd,0,fr,Siebel,Org line A2,A2_5,Completed,Medium,PROD582,Closed,2012-05-11 01:26:15+00:00,1-364285768
S42,Sweden,se,Adam,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-01-31 11:12:22+00:00,1-467153946
S42,Sweden,se,Adam,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-01-31 11:18:44+00:00,1-467153946
N52 2nd,Sweden,se,Adam,Org line C,V3_2,Queued,Medium,PROD453,Awaiting Assignment,2011-01-31 11:19:05+00:00,1-467153946
N52 2nd,Sweden,se,Denny,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-01-31 12:59:46+00:00,1-467153946
N52 2nd,Sweden,se,Denny,Org line C,V3_2,Accepted,Medium,PROD453,Wait - User,2011-01-31 14:37:55+00:00,1-467153946
O3 3rd,Sweden,se,Denny,Org line C,C_6,Queued,Medium,PROD453,Awaiting Assignment,2011-02-03 08:28:58+00:00,1-467153946
O3 3rd,Sweden,se,Paul,Org line C,C_6,Accepted,Medium,PROD453,In Progress,2011-02-07 12:37:33+00:00,1-467153946
O3 3rd,Sweden,se,Paul,Org line C,C_6,Accepted,Medium,PROD453,Wait - Implementation,2011-02-07 12:38:25+00:00,1-467153946
G140 2nd,Sweden,se,Åse,Org line C,E_10,Accepted,Medium,PROD453,In Progress,2011-03-09 11:08:06+00:00,1-467153946
G140 2nd,Sweden,se,Åse,Org line C,E_10,Accepted,Medium,PROD453,Wait - Implementation,2011-03-09 11:27:05+00:00,1-467153946
G140 2nd,Sweden,se,Joseph,Org line C,E_10,Accepted,Medium,PROD453,In Progress,2011-03-10 11:53:10+00:00,1-467153946
G140 2nd,Sweden,se,Joseph,Org line C,E_10,Accepted,Medium,PROD453,Assigned,2011-03-10 11:53:22+00:00,1-467153946
G140 2nd,Sweden,se,Björn T,Org line C,E_10,Accepted,Medium,PROD453,In Progress,2011-03-10 12:17:22+00:00,1-467153946
G140 2nd,Sweden,se,Björn T,Org line C,E_10,Accepted,Medium,PROD453,Wait - User,2011-03-10 12:21:51+00:00,1-467153946
G140 2nd,Sweden,se,Björn T,Org line C,E_10,Accepted,Medium,PROD453,Wait,2011-03-10 14:45:27+00:00,1-467153946
G140 2nd,Sweden,se,Björn T,Org line C,E_10,Accepted,Medium,PROD453,Assigned,2011-03-14 07:56:20+00:00,1-467153946
G140 2nd,Sweden,se,Åse,Org line C,E_10,Accepted,Medium,PROD453,In Progress,2011-03-14 07:58:01+00:00,1-467153946
G140 2nd,Sweden,se,Åse,Org line C,E_10,Accepted,Medium,PROD453,Wait,2011-03-14 07:58:55+00:00,1-467153946
G140 2nd,Sweden,se,Suliman,Org line C,E_10,Accepted,Medium,PROD453,In Progress,2011-04-05 17:59:52+00:00,1-467153946
N52 2nd,Sweden,se,Suliman,Org line C,V3_2,Queued,Medium,PROD453,Awaiting Assignment,2011-04-05 18:02:01+00:00,1-467153946
N52 2nd,Sweden,se,Denny,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-04-06 10:32:07+00:00,1-467153946
N52 2nd,Sweden,se,Denny,Org line C,V3_2,Accepted,Medium,PROD453,Assigned,2011-04-06 11:47:50+00:00,1-467153946
N52 2nd,Sweden,se,Jon,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-04-06 11:48:33+00:00,1-467153946
N52 2nd,Sweden,se,Jon,Org line C,V3_2,Accepted,Medium,PROD453,Wait - User,2011-04-06 12:08:47+00:00,1-467153946
N52 2nd,Sweden,se,Jon,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-04-07 13:36:47+00:00,1-467153946
N52 2nd,Sweden,se,Jon,Org line C,V3_2,Accepted,Medium,PROD453,Wait,2011-04-07 14:06:06+00:00,1-467153946
N52 2nd,Sweden,se,Jon,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-04-08 14:10:59+00:00,1-467153946
N52 2nd,Sweden,se,Jon,Org line C,V3_2,Accepted,Medium,PROD453,Wait,2011-04-08 14:17:44+00:00,1-467153946
G137 2nd,Sweden,se,Jon,Org line C,E_10,Queued,Medium,PROD453,Awaiting Assignment,2011-04-08 14:20:00+00:00,1-467153946
G137 2nd,Sweden,se,Gustav,Org line C,E_10,Accepted,Medium,PROD453,In Progress,2011-04-12 15:16:47+00:00,1-467153946
M25,Sweden,se,Magnus,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-08-08 15:28:38+00:00,1-467153946
M25,Sweden,se,Magnus,Org line C,V3_2,Accepted,Medium,PROD453,Assigned,2011-09-12 11:22:38+00:00,1-467153946
M25,Sweden,se,Magnus,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2011-11-21 13:52:19+00:00,1-467153946
M25,Sweden,se,Magnus,Org line C,V3_2,Accepted,Medium,PROD453,Wait - Implementation,2011-11-21 13:52:57+00:00,1-467153946
G142 2nd,Sweden,se,Magnus,Org line C,E_10,Queued,Medium,PROD453,Awaiting Assignment,2012-01-25 15:50:41+00:00,1-467153946
G142 2nd,Sweden,se,Andreas,Org line C,E_10,Accepted,Medium,PROD453,In Progress,2012-01-25 15:53:07+00:00,1-467153946
M25,Sweden,se,Andreas,Org line C,V3_2,Queued,Medium,PROD453,Awaiting Assignment,2012-01-25 15:54:00+00:00,1-467153946
