apploc:filename,org:resource,apploc:node,apploc:linenr,concept:name,apploc:tier,apploc:app,apprun:threadid,apploc:joinpoint,time:timestamp,lifecycle:transition,apploc:etype,apprun:nanotime,apploc:regionstr,case:concept:name,case:swevent:type,apprun:excatchtype,apprun:exthrowtype
CEV.java,1,0.1-SNAPSHOT,20,cev.CEV(),symdym-examples,symdym,1,cev.CEV(),2017-02-13 15:50:51.610000+00:00,start,call_new,363666988705274,,cev.TestCEV.test_1(),normal,,
ErrorLog.java,1,0.1-SNAPSHOT,29,cev.ErrorLog(),symdym-examples,symdym,1,cev.ErrorLog(),2017-02-13 15:50:51.613000+00:00,start,call_new,363666991619724,,cev.TestCEV.test_1(),normal,,
ErrorLog.java,1,0.1-SNAPSHOT,29,cev.ErrorLog(),symdym-examples,symdym,1,cev.ErrorLog(),2017-02-13 15:50:51.613000+00:00,complete,return_new,363666991759994,,cev.TestCEV.test_1(),normal,,
Failures.java,1,0.1-SNAPSHOT,31,cev.Failures(cev.ErrorLog),symdym-examples,symdym,1,cev.Failures(cev.ErrorLog),2017-02-13 15:50:51.617000+00:00,start,call_new,363666995326615,,cev.TestCEV.test_1(),normal,,
Failures.java,1,0.1-SNAPSHOT,24,"cev.Failures$Type(java.lang.String,int)",symdym-examples,symdym,1,"cev.Failures$Type(java.lang.String,int)",2017-02-13 15:50:51.621000+00:00,start,call_new,363666999991019,,cev.TestCEV.test_1(),normal,,
Failures.java,1,0.1-SNAPSHOT,24,"cev.Failures$Type(java.lang.String,int)",symdym-examples,symdym,1,"cev.Failures$Type(java.lang.String,int)",2017-02-13 15:50:51.622000+00:00,complete,return_new,363667000186456,,cev.TestCEV.test_1(),normal,,
Failures.java,1,0.1-SNAPSHOT,24,"cev.Failures$Type(java.lang.String,int)",symdym-examples,symdym,1,"cev.Failures$Type(java.lang.String,int)",2017-02-13 15:50:51.622000+00:00,start,call_new,363667000275408,,cev.TestCEV.test_1(),normal,,
Failures.java,1,0.1-SNAPSHOT,24,"cev.Failures$Type(java.lang.String,int)",symdym-examples,symdym,1,"cev.Failures$Type(java.lang.String,int)",2017-02-13 15:50:51.622000+00:00,complete,return_new,363667000408835,,cev.TestCEV.test_1(),normal,,
Failures.java,1,0.1-SNAPSHOT,24,"cev.Failures$Type(java.lang.String,int)",symdym-examples,symdym,1,"cev.Failures$Type(java.lang.String,int)",2017-02-13 15:50:51.622000+00:00,start,call_new,363667000504629,,cev.TestCEV.test_1(),normal,,
Failures.java,1,0.1-SNAPSHOT,24,"cev.Failures$Type(java.lang.String,int)",symdym-examples,symdym,1,"cev.Failures$Type(java.lang.String,int)",2017-02-13 15:50:51.622000+00:00,complete,return_new,363667000588022,,cev.TestCEV.test_1(),normal,,
