params.dataset,task,params.max_pattern_size_eval,params.n_clusters,params.clustering_type,params.process_stage_width_percentage,metrics.last_tscs_mae,metrics.cumsum_tsle_mae,metrics.next_tsle_mae,metrics.nap_accuracy,metrics.sfx_similarity,metrics.nap_accuracy_std,metrics.sfx_similarity_std,metrics.last_tscs_mae_std,metrics.cumsum_tsle_mae_std,metrics.next_tsle_mae_std,encoding_cols_OneHotEncoder,encoding_cols_StandardScaler,encoding_cols_MinMaxScaler,encoding_cols_RobustScaler
BPI2012_C,metrics.nap_accuracy,3.0,10.0,KMeans,0.0,14.31,,,0.7843,0.3183,0.0033,0.0095,2.186,,,['org:resource'],"['tscs', 'case:AMOUNT_REQ']",[],[]
BPI2012_W,metrics.nap_accuracy,3.0,1.0,KMeans,1.0,13.53,88.37,1.05,0.8324,0.0976,0.0026,0.0053,0.4863,7.5939,0.0112,[],"['tsle', 'tsmn', 'tscs']",[],[]
BPI2012_WC,metrics.nap_accuracy,3.0,1.0,GaussianMixture,1.0,16.51,104.61,3.07,0.6634,0.0569,0.0039,0.0042,0.5611,8.9003,0.0208,[],"['tsle', 'tsmn', 'tscs']",[],[]
BPI2013_Closed,metrics.nap_accuracy,3.0,10.0,KMeans,0.5,184.43,,,0.6947,0.6983,0.0136,0.0142,21.6948,,,"['org:role', 'org:group', 'impact']",['tscs'],[],[]
BPI2013_Incidents,metrics.nap_accuracy,3.0,1.0,GaussianMixture,0.025,,72.89,7.0,0.7037,0.3684,0.0029,0.005,,5.665,0.1632,"['org:role', 'impact']",['tsle'],[],[]
EnvPermit,metrics.nap_accuracy,21.0,1.0,GaussianMixture,0.025,,10.71,5.39,0.876,0.839,0.0053,0.0079,,0.4738,0.2358,['org:resource'],['tsle'],[],[]
Helpdesk,metrics.nap_accuracy,3.0,1.0,GaussianMixture,0.2,28.65,,,0.8611,0.9113,0.004,0.0041,0.5243,,,['Resource'],['tscs'],[],[]
Nasa,metrics.nap_accuracy,21.0,1.0,KMeans,1.0,0.0,0.0,0.0,0.8863,0.4933,0.0019,0.0118,0.0,0.0,0.0,[],"['tsle', 'tsmn', 'tscs']",[],[]
Sepsis,metrics.nap_accuracy,3.0,10.0,GaussianMixture,0.0,42.38,,,0.5989,0.431,0.0195,0.1147,10.33,,,['org:group'],['tscs'],[],[]
BPI2012_C,metrics.sfx_similarity,15.0,1.0,KMeans,0.0,13.12,,,0.6937,0.4865,0.0058,0.0027,0.3801,,,['org:resource'],"['tscs', 'case:AMOUNT_REQ']",[],[]
BPI2012_W,metrics.sfx_similarity,21.0,1.0,KMeans,1.0,13.62,20.51,1.05,0.7195,0.3506,0.0051,0.0139,0.4973,5.8745,0.0112,[],"['tsle', 'tsmn', 'tscs']",[],[]
BPI2012_WC,metrics.sfx_similarity,3.0,50.0,GaussianMixture,0.0,,,2.74,0.6202,0.393,,,,,,['org:resource'],"['tsle', 'case:AMOUNT_REQ']",[],[]
BPI2013_Closed,metrics.sfx_similarity,3.0,1.0,GaussianMixture,1.0,252.64,199.33,114.94,0.6871,0.7353,0.0119,0.0107,12.0333,7.5571,1.2627,[],"['tsle', 'tsmn', 'tscs']",[],[]
BPI2013_Incidents,metrics.sfx_similarity,3.0,10.0,GaussianMixture,0.0,23.0,,,0.6967,0.6113,0.0051,0.0071,2.134,,,"['org:role', 'impact']",['tscs'],[],[]
